train,val
1.525789499282837,1.5133644890785218
1.1306583733558655,1.1134163200855256
0.9559239035844803,1.0971321785449981
0.8414746180772782,1.0181382149457932
0.7593772569894791,1.1224732065200806
0.6965556250810623,0.7848683762550354
0.6482259955406189,0.7676173743605613
0.6088189894556999,0.7060993114113807
0.5745928667187691,0.7461527612805366
0.548857069849968,0.6064203014969826
0.5265038446187973,0.5969804430007934
0.5029489949345589,0.6477908036112785
0.48578477478027343,0.5333078467845916
0.46660864797234536,0.5542116445302964
0.45127085828781127,0.5419535592198372
0.4332661982178688,0.5651900857686997
0.414082299053669,0.5138480108976364
0.40650119820237157,0.6200344976782799
0.3938086848258972,0.4978813424706459
0.38129206183552744,0.46916594356298447
0.3662694605588913,0.4882459971308708
0.3588095223903656,0.4711815294623375
0.34646440282464025,0.5196590858697892
0.3368530305325985,0.5088084045052529
0.33134738251566886,0.4755627426505089
0.3218753655552864,0.5424592213332653
0.3158738765269518,0.44260435372591017
0.30739350032806395,0.4737893071770668
0.30087975680828094,0.5104855418205261
0.2933380337059498,0.5257356026768685
